case_id,activity,timestamp,resource
C001,접수,2026-07-07 09:00,이대리
C001,검토,2026-07-07 12:17,이대리
C001,승인,2026-07-07 15:51,이대리
C001,통보,2026-07-07 16:27,이대리
C002,접수,2026-06-19 15:00,박과장
C002,검토,2026-06-19 16:31,박과장
C002,보완요청,2026-06-19 17:21,박과장
C002,재접수,2026-06-20 13:44,박과장
C002,검토,2026-06-20 16:34,박과장
C002,보완요청,2026-06-20 17:35,박과장
C002,재접수,2026-06-21 00:06,박과장
C002,검토,2026-06-21 01:53,박과장
C002,승인,2026-06-21 03:20,박과장
C002,통보,2026-06-21 03:42,박과장
C003,접수,2026-06-23 12:00,이대리
C003,검토,2026-06-23 14:26,이대리
C003,보완요청,2026-06-23 15:47,이대리
C003,재접수,2026-06-25 08:58,이대리
C003,검토,2026-06-25 10:49,이대리
C003,승인,2026-06-25 15:32,이대리
C003,통보,2026-06-25 16:12,이대리
C004,접수,2026-07-09 12:00,김주임
C004,검토,2026-07-09 14:09,김주임
C004,보완요청,2026-07-09 14:33,김주임
C004,재접수,2026-07-10 18:25,김주임
C004,검토,2026-07-10 19:22,김주임
C004,승인,2026-07-10 22:47,김주임
C004,통보,2026-07-10 23:38,김주임
C005,접수,2026-07-04 13:00,김주임
C005,검토,2026-07-04 16:56,김주임
C005,승인,2026-07-04 17:49,김주임
C005,통보,2026-07-04 18:41,김주임
C006,접수,2026-07-01 10:00,이대리
C006,검토,2026-07-01 13:01,이대리
C006,승인,2026-07-01 17:58,이대리
C006,통보,2026-07-01 18:25,이대리
C007,접수,2026-07-09 11:00,김주임
C007,검토,2026-07-09 13:14,김주임
C007,승인,2026-07-09 16:42,김주임
C007,통보,2026-07-09 17:32,김주임
C008,접수,2026-06-19 12:00,박과장
C008,검토,2026-06-19 15:35,박과장
C008,보완요청,2026-06-19 16:56,박과장
C008,재접수,2026-06-21 01:18,박과장
C008,검토,2026-06-21 04:55,박과장
C008,승인,2026-06-21 08:36,박과장
C008,통보,2026-06-21 09:05,박과장
C009,접수,2026-06-07 13:00,김주임
C009,검토,2026-06-07 13:34,김주임
C009,보완요청,2026-06-07 15:00,김주임
C009,재접수,2026-06-07 21:29,김주임
